score,model,kernel,AUDRC,Success Rate,experiment
hybrid,lsnm,exp,1.0,1.0,periodic
hybrid,nn,exp,1.0,1.0,periodic
hybrid,parametric-quad,exp,1.0,1.0,periodic
hybrid,parametric-lin,exp,1.0,1.0,periodic
stein,parametric-quad,gauss,0.9999498743718592,0.995,periodic
hybrid,anm,exp,0.9999750000000001,0.995,periodic
stein,parametric-lin,gauss,0.999439432977248,0.98,periodic
stein,nn,gauss,0.9962134330156772,0.98,periodic
hybrid,parametric-quad,gauss,0.9995456838206429,0.98,periodic
stein,anm,exp,0.9956298535743874,0.97,periodic
stein,parametric-lin,exp,0.9965428296815368,0.97,periodic
hybrid,parametric-lin,gauss,0.9986417287718887,0.97,periodic
hsic,loci,spline,0.9934803306964193,0.96,periodic
stein,parametric-quad,exp,0.9943633888328854,0.95,periodic
hsic,loci,loci,0.987484289798499,0.94,periodic
stein,lsnm,exp,0.9913086892345738,0.93,periodic
stein,nn,exp,0.9895418306231282,0.93,periodic
kde,parametric-quad,exp,0.9918365213764423,0.91,periodic
hybrid,nn,gauss,0.9591325329422964,0.885,periodic
kde,parametric-quad,gauss,0.9785477564669146,0.88,periodic
stein,lsnm,gauss,0.9391021745998526,0.865,periodic
stein,anm,gauss,0.9538563777994882,0.855,periodic
hybrid,anm,gauss,0.8368777920862314,0.785,periodic
kde,nn,gauss,0.8406580678561631,0.705,periodic
kde,parametric-lin,gauss,0.8965794147984536,0.7,periodic
hybrid,lsnm,gauss,0.7346283127917675,0.675,periodic
kde,nn,exp,0.7647289406025873,0.66,periodic
kde,lsnm,gauss,0.691502701892411,0.6,periodic
kde,anm,gauss,0.5946797198499837,0.55,periodic
kde,lsnm,exp,0.5283348329841462,0.48,periodic
kde,parametric-lin,exp,0.06741015468690698,0.15,periodic
lik,loci,loci,0.20073221805773359,0.14,periodic
lik,loci,spline,0.1707410590248736,0.12,periodic
kde,anm,exp,0.01171170723975198,0.04,periodic
kde,parametric-quad,exp,0.9283248716282393,0.79,sigmoid
stein,parametric-quad,gauss,0.8705687205785491,0.72,sigmoid
hybrid,parametric-quad,exp,0.8196091012767499,0.72,sigmoid
hybrid,parametric-lin,exp,0.8217012982800135,0.71,sigmoid
stein,parametric-lin,gauss,0.8503069493347288,0.71,sigmoid
hybrid,nn,exp,0.7978968110962035,0.7,sigmoid
hybrid,lsnm,exp,0.7518097163636215,0.67,sigmoid
hybrid,anm,exp,0.7668237729507257,0.67,sigmoid
stein,lsnm,exp,0.6860885678375243,0.64,sigmoid
stein,parametric-lin,exp,0.6833515335439921,0.64,sigmoid
stein,lsnm,gauss,0.6383011352339107,0.63,sigmoid
stein,nn,exp,0.6801825434477974,0.62,sigmoid
stein,parametric-quad,exp,0.6848073402352607,0.62,sigmoid
stein,anm,exp,0.6802026548567625,0.62,sigmoid
stein,nn,gauss,0.7547143886821397,0.59,sigmoid
lik,loci,loci,0.717326378112879,0.5,sigmoid
kde,nn,exp,0.5120341305232469,0.48,sigmoid
lik,loci,spline,0.6933020406976376,0.48,sigmoid
stein,anm,gauss,0.42241222265684575,0.45,sigmoid
kde,lsnm,exp,0.33550282799729375,0.42,sigmoid
hybrid,parametric-quad,gauss,0.5147784225921501,0.35,sigmoid
kde,parametric-quad,gauss,0.49458621276577674,0.35,sigmoid
hybrid,parametric-lin,gauss,0.45021188251619904,0.33,sigmoid
hsic,loci,loci,0.1791758742437569,0.32,sigmoid
hsic,loci,spline,0.21205777327465164,0.32,sigmoid
kde,lsnm,gauss,0.3779728222303797,0.31,sigmoid
hybrid,lsnm,gauss,0.42477492766303615,0.31,sigmoid
hybrid,nn,gauss,0.43655786815969255,0.29,sigmoid
kde,nn,gauss,0.3455432770394499,0.25,sigmoid
kde,parametric-lin,gauss,0.3555723244646177,0.25,sigmoid
kde,parametric-lin,exp,0.324049894165263,0.21,sigmoid
kde,anm,gauss,0.2138797522035297,0.15,sigmoid
hybrid,anm,gauss,0.22304307143962365,0.14,sigmoid
kde,anm,exp,0.17813450655385069,0.12,sigmoid
stein,parametric-lin,gauss,0.995054611484481,0.95,velocity
stein,parametric-quad,gauss,0.995170717288789,0.95,velocity
kde,nn,gauss,0.9896335786808211,0.93,velocity
hybrid,parametric-quad,gauss,0.9913913198655065,0.92,velocity
hybrid,parametric-lin,gauss,0.9918822280604064,0.92,velocity
kde,anm,gauss,0.9879548564165455,0.92,velocity
hybrid,nn,gauss,0.990060121490012,0.91,velocity
hybrid,lsnm,gauss,0.989452725586261,0.91,velocity
kde,parametric-quad,gauss,0.991299940433226,0.91,velocity
kde,parametric-lin,gauss,0.9922279459710134,0.91,velocity
hybrid,lsnm,exp,0.9862453647785319,0.91,velocity
hybrid,nn,exp,0.9899766133617699,0.9,velocity
hybrid,parametric-lin,exp,0.98830353176561,0.9,velocity
hybrid,anm,gauss,0.9860854118628947,0.9,velocity
stein,nn,gauss,0.9811892636341091,0.9,velocity
hybrid,anm,exp,0.9868308077522585,0.9,velocity
hybrid,parametric-quad,exp,0.9886284382746053,0.9,velocity
kde,lsnm,gauss,0.9789410793064931,0.88,velocity
kde,parametric-lin,exp,0.9818386588234236,0.88,velocity
kde,parametric-quad,exp,0.9580150264704456,0.83,velocity
stein,nn,exp,0.9551081859033601,0.83,velocity
stein,lsnm,exp,0.9561357689884713,0.82,velocity
stein,parametric-lin,exp,0.9565910165403174,0.82,velocity
stein,parametric-quad,exp,0.9567060575276988,0.82,velocity
kde,anm,exp,0.9549896666929365,0.81,velocity
stein,anm,exp,0.9560232829293307,0.81,velocity
kde,nn,exp,0.9454067339095057,0.77,velocity
stein,lsnm,gauss,0.907618481450839,0.75,velocity
kde,lsnm,exp,0.8506210814379881,0.72,velocity
lik,loci,loci,0.8689844262924828,0.61,velocity
lik,loci,spline,0.7887235279464869,0.6,velocity
stein,anm,gauss,0.7738879216261061,0.54,velocity
hsic,loci,spline,0.0061116410565907955,0.07,velocity
hsic,loci,loci,0.005183720809102566,0.06,velocity
stein,parametric-lin,exp,0.37080460357708206,0.44,sim
hybrid,parametric-quad,exp,0.3758411012201996,0.39,sim
stein,nn,exp,0.37190982358384234,0.44,sim
stein,lsnm,gauss,0.6967220278513229,0.66,sim
hybrid,anm,gauss,0.44318236504004593,0.45,sim
stein,parametric-lin,gauss,0.5832998782478558,0.58,sim
hybrid,parametric-lin,gauss,0.4042065786021433,0.46,sim
kde,anm,gauss,0.40660389460578555,0.47,sim
stein,parametric-quad,gauss,0.6684362153982073,0.63,sim
hybrid,lsnm,gauss,0.4315019045243307,0.44,sim
stein,nn,gauss,0.6067524813695127,0.54,sim
hybrid,anm,exp,0.3995189131594006,0.41,sim
kde,anm,exp,0.3768484085844868,0.38,sim
kde,nn,gauss,0.3810554735945356,0.41,sim
stein,parametric-quad,exp,0.37017166977275784,0.43,sim
hybrid,lsnm,gauss,0.8874995003622226,0.74,simg
